min_sample_split,min_samples_leaf,Accuracy
2,1,0.7557052001496446
4,1,0.7557052001496446
8,1,0.75944631500187054
16,1,0.75907220351664795
32,1,0.75626636737747854
64,1,0.74990647212869432
128,1,0.744668911335578
2,1,0.75720164609053497
2,10,0.75252525252525249
2,100,0.7297044519266741
2,1000,0.70987654320987659
2,1,0.74784885895997011
4,1,0.75028058361391692
8,1,0.75158997381219605
16,1,0.74934530490086049
32,1,0.7442947998503554
64,1,0.74448185559296676
128,1,0.73718668163112611
2,1,0.7482229704451927
2,10,0.74616535727646838
2,100,0.72147399925177702
2,1000,0.6941638608305275
2,1,0.74841002618780395
4,1,0.74541713430602319
8,1,0.74354657687991021
16,1,0.74279835390946503
32,1,0.74223718668163108
64,1,0.74148896371118589
128,1,0.73232323232323238
2,1,0.74747474747474751
2,10,0.74055368499812946
2,100,0.72334455667788999
2,1000,0.68911335578002242
2,1,0.75495697717919941
4,1,0.75701459034792373
8,1,0.75364758698092027
16,1,0.7557052001496446
32,1,0.75364758698092027
64,1,0.74710063598952492
128,1,0.7336326225215114
2,1,0.75664047886270114
2,10,0.75701459034792373
2,100,0.72484100261878037
2,1000,0.70632248410026188
2,1,0.75794986906098016
4,1,0.75776281331836892
8,1,0.7592592592592593
16,1,0.75607931163486719
32,1,0.75196408529741865
64,1,0.75271230826786384
128,1,0.74410774410774416
2,1,0.75701459034792373
2,10,0.75364758698092027
2,100,0.7297044519266741
2,1000,0.6945379723157501
